cpu liquid cooler ระบบระบายความร้อนด้วยน้ำ asus rog ryuo 240	fan speed	 800 to 2500 rpm 10	
cpu liquid cooler ระบบระบายความร้อนด้วยน้ำ asus rog ryuo 240	fan static pressure	 5.0 mmh2o	
cpu liquid cooler ระบบระบายความร้อนด้วยน้ำ asus rog ryuo 240	fan air flow	 80.95 cfm	
cpu liquid cooler ระบบระบายความร้อนด้วยน้ำ asus rog ryuo 240	fan noise	 37 db	
cpu liquid cooler ระบบระบายความร้อนด้วยน้ำ asus rog ryuo 240	control mode	 pwm	
cpu liquid cooler ระบบระบายความร้อนด้วยน้ำ asus rog ryuo 240	oled display	 1.77 full color oled	
cpu liquid cooler ระบบระบายความร้อนด้วยน้ำ asus rog ryuo 240	aura sync support	 yes	
cpu liquid cooler ระบบระบายความร้อนด้วยน้ำ asus rog ryuo 240	intel	 lga 1150 1151 1152 1155 1156 1366 2011 2011 to 3 2066	
cpu liquid cooler ระบบระบายความร้อนด้วยน้ำ asus rog ryuo 240	amd	 am4 tr4	
cpu liquid cooler ระบบระบายความร้อนด้วยน้ำ thermaltake water 3.0 240 argb sync edition	compatibility intel 	 lga 2066 20113 2011 1366 1156 1155 1151 1150	
cpu liquid cooler ระบบระบายความร้อนด้วยน้ำ thermaltake water 3.0 240 argb sync edition	amd 	 fm2 fm1 am4 am3 am3 am2 am2	
cpu liquid cooler ระบบระบายความร้อนด้วยน้ำ thermaltake water 3.0 240 argb sync edition	water block material 	 copper	
cpu liquid cooler ระบบระบายความร้อนด้วยน้ำ thermaltake water 3.0 240 argb sync edition	pump motor speed 	 3600 rpm	
